ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
GNQ,Equatorial Guinea,Climate Watch,Energy,All GHG,MtCO₂e,8.9,9.69,10.34,10.8,11.86,12.21,13.32,11.33,11.5,11.86,12.52,12.39,13.05,13.94,13.29,13.43,12.97,9.17,8.04,8.77,6.51,7.26,5.63,4.39,2.83,2.48,2.3,2.14,1.96,0.22,0.07
GRC,Greece,Climate Watch,Energy,All GHG,MtCO₂e,49.63,58.33,63.33,64.85,64.81,66.62,67.88,71.09,79.54,84.62,85.78,92.81,97.04,100.68,96.76,97.91,96.22,96.54,92.98,92.64,90.45,83.47,83.16,79.67,78.7,78.73,76.03,74.38,74.49,72.21,71.93
GRD,Grenada,Climate Watch,Energy,All GHG,MtCO₂e,0.32,0.35,0.32,0.29,0.28,0.27,0.25,0.32,0.28,0.26,0.27,0.26,0.26,0.25,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.2,0.18,0.17,0.15,0.14,0.13,0.13,0.12,0.11
GTM,Guatemala,Climate Watch,Energy,All GHG,MtCO₂e,18.59,20.83,19.76,17.99,18.82,17.53,15.07,14.26,13.36,12.89,12.56,13.38,12.29,13.44,12.5,12.49,11.73,11.52,11.38,10.38,9.98,8.89,8.83,7.16,6.85,6.97,5.99,5.71,5.32,4.47,4.25
GUY,Guyana,Climate Watch,Energy,All GHG,MtCO₂e,2.86,2.7,2.49,2.38,2.38,2.11,2.13,2.04,2.06,1.89,1.82,1.69,1.66,1.66,1.39,1.54,1.74,1.68,1.69,1.71,1.73,1.8,1.81,1.79,1.64,1.59,1.47,1.14,1.13,1.2,1.28
HND,Honduras,Climate Watch,Energy,All GHG,MtCO₂e,8.92,10.17,8.92,9.14,10.52,10.74,10.06,9.81,10.03,9.6,8.07,8.16,8.64,8.57,7.98,7.05,7.61,6.79,6.14,5.8,5.0,4.81,4.92,4.21,4.03,4.09,3.51,3.1,2.96,2.66,2.67
HRV,Croatia,Climate Watch,Energy,All GHG,MtCO₂e,15.17,16.11,15.99,16.91,16.6,16.24,15.75,16.68,17.19,18.8,19.14,19.93,21.03,22.09,20.84,20.79,20.44,21.05,19.66,18.56,17.53,18.19,18.5,17.1,15.43,15.65,14.82,15.72,15.03,15.68,21.28
HTI,Haiti,Climate Watch,Energy,All GHG,MtCO₂e,3.94,4.07,4.04,4.06,4.09,3.99,3.71,3.38,3.15,3.42,3.06,2.57,2.59,2.6,2.25,2.21,2.15,2.29,2.29,2.09,2.04,1.94,1.86,1.81,1.58,1.42,0.68,1.14,1.3,1.37,1.4
HUN,Hungary,Climate Watch,Energy,All GHG,MtCO₂e,45.57,48.0,50.11,50.54,45.42,44.52,41.9,42.15,44.72,48.36,49.22,48.85,53.63,54.43,56.12,56.67,56.92,58.88,56.21,56.95,55.29,58.76,58.26,58.01,59.66,58.51,59.2,60.01,59.85,66.79,69.07
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,650.05,697.34,654.45,598.14,565.25,573.01,574.8,541.02,574.98,569.12,496.93,465.51,442.93,447.0,431.12,400.49,395.11,386.85,356.25,351.23,330.7,332.47,314.64,310.36,285.63,271.0,245.62,230.2,215.71,205.98,188.86
