ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
DNK,Denmark,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,7.48,8.82,11.71,11.78,14.12,13.01,15.77,19.32,17.14,20.37,24.57,24.63,24.7,26.86,31.58,23.81,27.11,33.03,28.08,27.85,26.6,29.68,32.77,36.31,45.4,32.77,36.42,32.24,30.66,35.67,26.72
DOM,Dominican Republic,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,8.98,10.79,11.19,10.06,10.99,10.84,10.1,9.22,9.55,9.53,8.97,8.45,9.47,9.14,9.0,8.64,7.93,9.14,10.55,9.95,9.6,9.33,8.74,5.88,5.15,5.02,4.97,4.06,4.4,3.67,3.29
DZA,Algeria,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,49.2,50.09,48.61,48.14,47.92,49.82,47.91,43.01,43.51,39.35,36.48,36.71,35.32,33.99,34.28,32.64,31.78,32.57,32.32,30.23,29.2,29.35,27.8,27.74,25.77,25.9,24.98,25.31,24.09,24.11,23.13
ECU,Ecuador,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,6.13,6.94,7.6,6.93,9.37,10.51,10.54,10.07,9.14,8.76,9.96,8.69,7.06,7.74,7.47,6.1,5.35,4.75,5.08,5.0,4.29,3.93,5.2,4.69,4.19,3.95,1.84,1.88,2.43,1.93,1.61
EGY,Egypt,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,88.51,91.29,97.27,106.3,99.34,96.97,92.34,88.29,87.83,81.55,77.99,78.93,74.87,67.69,66.41,63.7,59.17,46.96,41.93,39.47,34.5,36.75,34.76,30.65,28.1,27.42,26.88,27.52,27.69,26.97,25.42
ERI,Eritrea,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.31,0.3,0.28,0.24,0.24,0.23,0.24,0.23,0.25,0.22,0.27,0.25,0.23,0.27,0.25,0.28,0.31,0.27,0.26,0.29,0.28,0.29,0.24,0.31,0.33,0.31,0.32,0.33,0.27,N/A,N/A
ESP,Spain,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,58.88,74.64,90.29,100.46,88.53,102.98,88.83,87.94,111.46,103.39,90.06,105.36,122.03,138.61,130.84,132.58,123.03,114.34,119.18,104.03,111.32,107.13,88.94,89.55,77.14,89.66,80.49,78.55,89.19,79.54,78.34
EST,Estonia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,3.74,5.99,11.65,12.75,12.01,10.52,13.45,14.56,12.88,14.42,14.67,10.41,12.79,14.89,11.76,12.59,12.68,12.67,10.87,11.03,11.41,12.07,12.4,13.72,13.1,12.43,14.66,14.15,18.51,24.55,26.84
ETH,Ethiopia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.05,0.06,0.49,0.45,0.17,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.04,0.05,0.07,0.08,0.07,0.08,0.07,0.32,0.3
FIN,Finland,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,15.49,18.79,21.41,20.21,22.08,20.69,23.71,26.47,24.96,29.82,35.71,29.82,29.97,36.69,38.69,27.05,38.62,42.51,34.29,31.47,26.19,24.72,24.29,29.46,31.99,25.01,27.07,22.36,19.27,21.63,20.03
FJI,Fiji,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.22,0.3,0.29,0.32,0.29,0.33,0.31,0.22,0.2,0.23,0.29,0.22,0.2,0.21,0.32,0.32,0.29,0.29,0.23,0.2,0.16,0.14,0.12,0.12,0.15,0.1,0.08,0.06,0.06,0.06,0.06
FRA,France,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,48.12,56.71,59.4,62.65,53.76,52.99,49.9,64.01,66.82,65.01,74.85,73.16,75.37,78.88,77.13,81.31,75.28,75.61,72.93,70.18,77.58,74.53,80.44,65.81,70.33,66.57,61.63,61.74,74.61,86.23,75.16
FSM,Micronesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.0,0.0
GAB,Gabon,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1.66,1.53,1.55,1.61,1.01,0.92,0.86,0.83,0.91,0.89,0.79,0.68,0.68,0.77,0.61,0.63,0.53,0.51,0.46,0.42,0.45,0.46,0.49,0.42,0.41,0.33,0.26,0.34,0.31,0.32,0.31
GBR,United Kingdom,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,89.6,100.38,108.7,114.36,128.05,151.18,171.73,196.82,212.57,198.25,210.05,204.79,232.8,243.16,249.57,244.11,240.21,242.3,230.86,235.41,226.36,215.79,216.77,211.71,224.13,216.88,219.46,225.33,246.77,247.3,249.0
GEO,Georgia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1.22,1.35,1.01,1.1,1.07,1.26,1.11,0.98,1.33,1.21,1.0,1.35,0.99,1.78,1.54,1.26,1.06,0.84,0.76,1.13,1.68,1.43,1.57,1.49,1.59,5.39,4.54,6.13,8.84,11.09,17.16
GHA,Ghana,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,6.46,5.96,5.29,4.64,4.27,3.37,3.32,3.69,3.1,2.53,3.08,1.73,1.89,2.61,2.41,1.1,0.61,1.73,1.95,0.93,0.54,1.15,1.22,0.03,0.06,0.07,0.08,0.06,0.05,0.05,0.04
GIN,Guinea,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.55,0.55,0.54,0.41,0.38,0.18,0.23,0.14,0.19,0.12,0.13,0.24,0.24,0.22,0.24,0.24,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33
GMB,Gambia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.26,0.26,0.26,0.26,0.25,0.24,0.22,0.22,0.22,0.22,0.21,0.19,0.2,0.18,0.18,0.16,0.15,0.13,0.12,0.12,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06
GNB,Guinea-Bissau,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03
GNQ,Equatorial Guinea,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,1.23,1.3,1.43,1.56,1.55,1.52,1.51,1.5,1.46,1.23,1.11,1.08,1.07,0.7,0.5,0.45,0.46,0.07,0.06,0.06,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
GRC,Greece,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,22.32,28.57,33.98,34.83,33.18,34.71,38.27,41.67,46.02,45.41,45.42,48.49,51.42,52.34,49.03,50.82,50.1,49.33,48.25,48.38,47.93,41.98,40.61,39.17,39.17,42.32,40.59,39.06,39.03,36.49,37.25
GRD,Grenada,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.16,0.17,0.16,0.15,0.14,0.13,0.12,0.19,0.15,0.13,0.14,0.13,0.13,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05
GTM,Guatemala,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,4.14,5.86,5.54,4.24,5.35,4.98,3.73,3.56,3.06,2.75,2.73,3.67,3.09,3.35,3.15,3.46,3.53,3.15,3.17,2.58,2.47,1.84,2.08,1.08,1.04,1.13,1.01,0.92,0.92,0.31,0.25
GUY,Guyana,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,0.93,0.93,0.92,0.87,0.85,0.79,0.79,0.81,0.75,0.75,0.76,0.75,0.59,0.6,0.52,0.5,0.69,0.68,0.38,0.38,0.39,0.41,0.48,0.44,0.41,0.42,0.39,0.34,0.34,0.35,0.35
HND,Honduras,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,3.33,3.53,2.56,2.67,4.02,3.59,3.65,3.27,2.87,2.98,2.31,2.32,2.62,2.59,2.73,1.98,2.31,1.62,1.49,1.31,1.04,0.85,1.32,0.87,0.74,0.91,0.33,0.17,0.12,0.03,0.04
HRV,Croatia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,3.67,3.87,3.83,4.43,4.78,4.69,4.69,5.2,5.6,6.32,6.04,6.52,6.94,8.04,6.92,7.12,7.1,8.19,7.53,6.71,6.19,6.78,7.45,6.35,5.95,6.09,5.45,6.68,6.21,5.6,7.91
