ISO,Country,Data source,Sector,Gas,Unit,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
FSM,Micronesia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,N/A
GAB,Gabon,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,6.31,6.31,6.31,6.32,6.31,6.31,6.28,6.31,6.29,6.33,3.04,3.04,3.06,3.03,3.06,3.06,3.11,3.02,2.99,2.97,3.51,3.51,3.47,3.47,3.5,3.48,3.48,3.48,3.48,3.48,3.48
GBR,United Kingdom,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,12.8,12.81,12.81,12.83,12.83,14.48,14.48,14.49,14.48,14.48,12.84,12.83,12.84,12.85,12.86,12.86,12.87,12.91,12.95,12.99,11.43,11.5,11.54,11.54,11.85,11.93,11.94,11.95,11.95,11.95,11.95
GEO,Georgia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.02,0.04,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,-3.5,-3.52,-3.51,-3.52,-3.51,-3.51,-3.51,-3.51,-3.51,-3.52,-18.27,-18.26,-18.26,-18.26,-18.26,-18.26,-18.26,-18.26,-18.26,-18.39,-18.39
GHA,Ghana,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-24.66,-24.85,-24.91,-24.91,-24.85,29.4,29.39,29.4,29.41,29.41,45.83,45.83,45.85,45.9,45.9,45.86,45.86,45.85,45.85,45.86,10.74,10.65,11.27,10.4,10.02,10.04,10.04,10.04,10.04,10.04,10.04
GIN,Guinea,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,12.04,12.05,12.0,12.04,12.12,11.24,11.11,11.12,11.16,11.09,11.0,11.04,11.09,11.05,11.11,11.07,11.02,11.04,10.93,10.9,10.84,11.07,11.28,10.82,10.7,10.73,10.74,10.74,10.74,10.74,10.74
GMB,Gambia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.84,0.93,0.68,0.71,0.69,0.75,0.75,0.75,0.75,0.75,0.75
GNB,Guinea-Bissau,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,1.71,1.71,1.69,1.69,1.79,2.1,1.95,1.83,2.08,1.77,1.88,1.82,1.89,2.09,2.12,1.96,1.96,1.84,1.79,1.67,1.74,2.01,1.79,1.54,1.49,1.83,1.83,1.83,1.83,1.83,1.83
GNQ,Equatorial Guinea,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83
GRC,Greece,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,1.27,1.28,1.27,1.29,1.3,1.28,1.28,1.28,1.29,1.3,-1.21,-1.21,-1.2,-1.14,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.0,-1.03,-0.82,-1.01,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02,-1.02
GRD,Grenada,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,Guatemala,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,3.62,3.42,3.3,3.48,3.52,7.89,7.73,7.95,7.79,7.81,13.85,14.22,13.88,14.08,13.85,14.75,13.75,15.65,13.85,13.74,17.79,16.83,18.69,16.77,17.04,16.61,16.61,16.61,16.61,16.61,16.61
GUY,Guyana,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,12.88,12.9,12.89,12.88,12.93,15.55,15.53,15.53,15.53,15.54,7.93,7.89,7.88,7.89,7.89,7.91,7.91,7.63,7.55,7.55,6.84,6.84,6.96,6.74,6.67,6.45,6.11,6.12,5.48,5.48,5.48
HND,Honduras,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,6.52,5.77,5.79,5.65,5.95,6.17,6.37,6.26,5.95,6.5,5.62,5.74,5.58,5.57,5.54,6.3,5.38,6.69,5.44,5.39,6.24,6.09,6.55,6.24,5.86,5.95,5.95,5.95,5.95,5.95,5.95
HRV,Croatia,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-4.33,-4.34,-4.35,-4.34,-4.35,-1.5,-1.5,-1.5,-1.5,-1.48,-0.83,-0.83,-0.83,-0.83,-0.84,-0.83,-0.83,-0.83,-0.83,-0.83,-0.84,-0.85,-0.79,-0.84,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85,-0.85
